alphabet,bachelor,comb,disco,entomology,freezing,growl,honey,integer,jerry,lake,march,Nordstrom,omit,Pinkowski,restrict,saliva,tuck,urethra,vehicle,wail,albeit,buck,crow,destruction,exercise,forever,gerrymander,hand,inside,jelly,life,mammal,neither,outside,popcorn,rampage,salad,touch,understand,velociraptor,win
apple,black,cat,dad,elephant,fat,god,hat,igloo,jack,lemon,mom,no,octopus,place,rat,sophie,thorn,up,virtue,walk,and,boy,core,dad,elephant,friend,ground,hat,igloo,jack,lemon,man,no,orange,pee,run,sophie,thing,up,vein,woman
apple,bear,cat,dog,elephant,fuck,grape,hat,igloo,jump,lion,male,neck,ostrich,pear,rock,snail,tree,under,v-neck,Wyoming,apple,bear,clit,dog,egret,flamingo,great,hat,ice,jog,long,monkey,nip,oh,panda,rabbit,snake,tiger,under,vex,whale
alphabet,bring,close,door,elephant,find,great,have,igloo,jar,long,many,next,oblong,prick,roar,strong,trick,usurp,vagina,wait,answer,bring,close,drive,elephant,find,gross,house,ice cream,jar,long,maze,new,open,prick,roar,slam,train,undulate,vagina,work
alligator,bony,cruel,dog,eat,fat,gear,home,ice,january,loon,move,never,open,pool,room,splat,tea,uranus,venus,weather,air,back,course,dig,eat,fat,grab,hit,ice,january,lake,moon,near,open,pain,rare,sit,tea,uranus,vape,warm
anya,bell,complex,dentist,element,flashlight,grade,hat,imagine,juxtaposition,line,milena,number,origin,polynomial,right,silva,tree,umbrella,vector,wax,any,back,complex,document,element,function,graph,hat,integral,juice,letter,maximum,number,original,polynomial,right,sent,tree,umbrella,vector,went
a,book,cup,david,express,fuck,group,hard,I,jerk,low,matt,nathaniel,orange,paul,reich,shirt,top,under,vertex,water,attempt,berry,columbia,dog,experience,fluency,graph,high,integrated,jew,lever,matt,never,orange,pedro,restrict,stuart,top,under,very,water
apple,brain,chalk,drain,expect,female,green,hello,imitate,jump,love,me,new,open,pentagon,red,speak,train,unzip,verify,we,an,bad,can,doctor,energy,five,general,high,imagine,jump,like,metabolism,next,oh,poor,rip,sure,team,united,veronica,win
asshole,ben,carleton,dick,ego,fuck,god,horse,index,john,love,male,new,orange,penis,r,sex,tao,upper,virgil,win,aggregate,barely,cellphone,decrease,ego,fluency,groups,heros,individual,join,love,male,new,orange,pairs,r,sexy,totally,underwear,violin,whoa
apple,black,clown,dip,eat,flip,great,hit,into,jog,left,mouse,nobody,out,pee,right,somebody,tie,under,vibraphone,wet,alpacca,blue,cup,drop,eat,flip,great,hit,in,Jupiter,lick,mother,nip,or,pit,ripple,so,too,Uranus,volcano,whether
allehandro,bee,cat,dick,eat,fuck,gallagher,hat,ian,january,lamb,monday,new,octopus,pool,red,sick,tea,utopia,venus,wednesday,androgynous,beautiful,callus,doom,elephant,frick,god,heat,incarcerate,jingle,look,mississippi,nevermore,ohoy,pallindrome,rectify,sick,tip,unisex,vernacular,wacked
alphabet,botanist,coal,doodle,edward,friday,good,holiday,iconic,jewel,lonely,many,new,octogon,Plato,red,semantics,twiddly,unitarian,violet,wonderwall,angle,batman,cloister,doberman,edward,file,good,home,indigo,january,lonely,man,new,october,plato,rouge,silver,time,unite,violet,window
alexander,bat,cut,dandelion,elephant,frenetic,gale,hate,ito,jovial,leo,monstrosity,narun,orthogonal,people,rangoon,scissors,time,Ulysses,valor,wail,apple,basketball,curl,dick,elephant,friend,game,honk,impudent,jordan,lexicographically,measure,narun,orthogonal,Persephone,rascal,scandal,task,utopia,viscous,waylaid
alphabet,boy,cat,dog,elephant,four,go,house,I,juice,lose,mouse,no,owen,purple,read,stop,toy,use,vertical,wug,alphabet,boy,car,dog,everyone,four,go,house,I,juice,lose,my,no,owen,purple,read,stop,toy,up,vertical,what
apple,bell,cat,dog,elephant,family,green,hellen,iota,joke,love,mom,no,octogon,pet,rich,sad,tree,umbrella,vibrate,wind,applesauce,brown,cat,dog,end,frog,god,hurdle,imitate,jester,lamb,mom,night,orangutan,prince,run,swim,trapeze,under,vermont,word
alphabet,birthday,clay,dick,elephant,frog,gossip,helicoptor,icarus,jenna,lion,mary,niagra falls,open,puke,rhode island,snake,tyrannosaurus,unambiguous,vermont,window,alphabet,birthday,clay,denver,elephant,failure,gossip,helicoptor,icarus,jenna,lion,mary,niagra falls,open,promiscuous,rhode island,snake,track,underdog,vermont,window
answer,bee,cat,dad,elephant,face,gossip,hair,I,joel,levi,mom,new,octopus,project,rhinoceros,see,tote,unicycle,vitamin,whale,answer,bob,canoe,dance,ear,fuck,grandma,hand,I'm,just,lose,mat,nice,orangutan,penis,rice,set,total,useless,vagina,whale
am,back,car,dick,exit,fuck,ghost,hello,I,jar,laugh,me,no,opposite,phone,right,sun,transfer,umbrella,vex,window,answer,back,car,down,elephant,free,go,high,I,jar,lap,me,no,on,phone,right,side,to,under,vex,window
apple,boat,controller,dog,experiment,fingerboard,god,hi,iphone,jstore,lie,memory,nighttime,owl,pizza,rabi,sam,tetris,underline,violin,will,apple,boat,controller,digest,experiment,fingerboard,grade,health,iphone,joel,lie,mom,nitrogen,offense,pizza,right,same,tetris,underline,violin,will
